CASRN	Agent [CAS No.]	Time-Weighted Average Limit (TWA)	Short-Term Exposure Limit (STEL)	Ceiling Limit (C)	Notations	MW
3689-24-5	Sulfotepp (TEDP) [3689-24-5] 	0.1 mg/m3 	 		Skin	322.318924
7446-09-5	Sulfur dioxide [7446-09-5] 	2 ppm	5 ppm			64.0638
2551-62-4	Sulfur hexafluoride [2551-62-4] 	1000 ppm	 			146.055419
10025-67-9	Sulfur monochloride [10025-67-9] 	 		1 ppm		
5714-22-7	Sulfur pentafluoride [5714-22-7] 	 		0.01 ppm		254.114032
7783-60-0	Sulfur tetrafluoride [7783-60-0] 	 		0.1 ppm		108.058613
7664-93-9	Sulfuric acid [7664-93-9] 	0.2 mg/m3 	 			98.07848
2699-79-8	Sulfuryl fluoride [2699-79-8] 	5 ppm	10 ppm			102.060606
35400-43-2	Sulprofos [35400-43-2] 	0.1 mg/m3 	 		Skin 	322.446822
	Synthetic Vitreous Fibres (Man Made Mineral Fibres) Continuous filament glass fibres Continuous filament glass fibres Glass wool fibres  Refractory ceramic fibres Rock wool fibres  Slag wool fibres  Special purpose glass fibres  Synthetic Vitreous Fibres, not otherwise classified (excluding fibrous glass dust and mineral wool fibre)	5 mg/m3 	 			
14807-96-6	Talc [14807-96-6], containing no asbestos	2 mg/m3 	 			
13494-80-9	Tellurium [13494-80-9] and compounds (NOS), as Te, excluding hydrogen telluride 	0.1 mg/m3	 			127.6
7783-80-4	Tellurium hexafluoride [7783-80-4], as Te 	0.01 ppm	 			241.590419
3383-96-8	Temephos [3383-96-8] 	1 mg/m3 	 		Skin	466.468924
13071-79-9	Terbufos [13071-79-9] 	0.01 mg/m3 	 		Skin	288.430602
100-21-0	Terephthalic acid [100-21-0] 	10 mg/m3	 			166.13084
26140-60-3	Terphenyls [26140-60-3] 	 		5 mg/m3		230.30376
994-05-8	tert-Amyl methyl ether (TAME) [994-05-8] 	20 ppm	 			102.17476
75-65-0	tert-Butanol [75-65-0] 	100 ppm	 			74.1216
540-88-5	tert-Butyl acetate [540-88-5] 	200 ppm	 			116.15828
1189-85-1	tert-Butyl chromate, as CrO3 [1189-85-1] 	 		0.1 mg/m3	Skin	
127-18-4	Tetrachloroethylene [127-18-4]	25 ppm	100 ppm			165.8334
1335-88-2	Tetrachloronaphthalene [1335-88-2] 	2 mg/m3	 			265.95076
117-08-8	Tetrachlorophathalic anhydride [117-08-8]	0.1 mg/m3	 			285.8958
25167-83-3	Tetrachlorophenol [25167-83-3]	0.5 mg/m3	 		Skin	231.89148
107-49-3	Tetraethyl pyrophosphate (TEPP) [107-49-3] 	0.01 mg/m3 	 		Skin	290.187724
116-14-3	Tetrafluoroethylene [116-14-3] 	2 ppm	 			100.015013
109-99-9	Tetrahydrofuran [109-99-9] 	50 ppm	100 ppm		Skin	72.10572
124-64-1; 55566-30-8	Tetrakis (hydroxymethyl) phosphonium salts Tetrakis (hydroxymethyl) phosphonium chloride [124-64-1]  Tetrakis (hydroxymethyl) phosphonium sulfate [55566-30-8]	2 mg/m3	 			190.562442;406.281484
3333-52-6	Tetramethyl succinonitrile [3333-52-6] 	0.5 ppm	 		Skin	136.19428
509-14-8	Tetranitromethane [509-14-8] 	0.005 ppm	 			196.0327
7722-88-5	Tetrasodium pyrophosphate [7722-88-5]	5 mg/m3	 			
479-45-8	Tetryl [479-45-8] 	1.5 mg/m3	 			287.1433
7440-28-0	Thallium [7440-28-0] and  compounds, as Tl	0.02 mg/m3 	 		Skin	204.3833
68-11-1	Thioglycolic acid [68-11-1] 	1 ppm	 		Skin	92.11696
7719-09-7	Thionyl chloride [7719-09-7] 	 		0.2 ppm		118.9704
137-26-8	Thiram [137-26-8] 	0.05 mg/m3 	 			240.43288
7440-31-5	Tin [7440-31-5], as Sn Metal Oxide and inorganic compounds, as Sn, except tin hydride  Organic compounds, as Sn	0.1 mg/m3	 		Skin	118.71
13463-67-7	Titanium dioxide [13463-67-7] 	10 mg/m3	 			79.8658
108-88-3	Toluene [108-88-3] 	20 ppm	 			92.13842
126-73-8	Tributyl phosphate [126-73-8] 	0.2 ppm	 			266.314142
76-03-9	Trichloroacetic acid [76-03-9] 	1 ppm	 			163.38714
79-01-6	Trichloroethylene [79-01-6] 	10 ppm	25 ppm			131.38834
75-69-4	Trichlorofluoromethane [75-69-4] 	 		1000 ppm		137.368103
1321-65-9	Trichloronaphthalene [1321-65-9] 	5 mg/m3	 		Skin	
52-68-6	Trichlorphon [52-68-6] 	1 mg/m3 	 			257.436682
102-71-6	Triethanolamine [102-71-6] 	0.5 ppm	 			149.1882
121-44-8	Triethylamine [121-44-8] 	1 ppm	3 ppm		Skin	101.19
280-57-9	Triethylenediamine [280-57-9]	1 ppm	 		Skin	112.17288
112-24-3	Triethylenetetramine [112-24-3] 	0.5 ppm	 		Skin	146.23392
75-63-8	Trifluorobromomethane [75-63-8] 	1000 ppm	 			148.90991
552-30-7	Trimellitic anhydride [552-30-7] 	0.0005 mg/m3 	0.002 mg/m3		Skin 	192.12506
2768-02-7	Trimethoxyvinylsilane [2768-02-7]	 	60 mg/m3			148.23248
25551-13-7	Trimethyl benzene (mixed isomers) [25551-13-7] 	25 ppm	 			120.19158
121-45-9	Trimethyl phosphite [121-45-9] 	2 ppm	 			124.075522
75-50-3	Trimethylamine [75-50-3] 	5 ppm	15 ppm			59.11026
78-30-8	Triorthocresyl phosphate [78-30-8] 	0.1 mg/m3	 		Skin	368.362802
115-86-6	Triphenyl phosphate [115-86-6] 	3 mg/m3	 			326.283062
25155-23-1	Trixylylphosphate [25155-23-1]	0.1 mg/m3	 			
7440-33-7	Tungsten [7440-33-7], as W Metal and insoluble compounds  Soluble compounds	1 mg/m3	3 mg/m3			183.84
8006-64-2; 80-56-8; 127-91-3; 13466-78-9	Turpentine [8006-64-2] and selected monoterpenes [80-56-8; 127-91-3; 13466-78-9] 	20 ppm	 			;136.23404;136.23404;136.23404
7440-61-1	Uranium (natural) [7440-61-1] Soluble and insoluble compounds, as U	0.2 mg/m3	0.6 mg/m3			238.02891
1314-62-1	Vanadium pentoxide [1314-62-1] as V	0.05 mg/m3 	 			181.88
	Vegetable oils (mists) except mists of irritant oils such as oils of castor and cashew nut 	10 mg/m3	 			
108-05-4	Vinyl acetate [108-05-4] 	10 ppm	15 ppm			86.08924
593-60-2	Vinyl bromide [593-60-2] 	0.5 ppm	 			106.94922
75-01-04	Vinyl chloride [75-01-04] 	1 ppm	 			
106-87-6	Vinyl cyclohexene dioxide [106-87-6] 	0.1 ppm	 		Skin	140.17968
75-02-5	Vinyl fluoride [75-02-5] 	1 ppm	 			46.043623
25013-15-4	Vinyl toluene [25013-15-4] 	50 ppm	100 ppm			
75-35-4	Vinylidene chloride [75-35-4] 	1 ppm	20 ppm			96.94328
75-38-7	Vinylidene fluoride [75-38-7] 	500 ppm	 			64.034086
8032-32-4	VM & P Naphtha [8032-32-4]		 			
81-81-2	Warfarin [81-81-2] 	0.1 mg/m3	 			308.32794
	Wheat flour dust (total dust)	3 mg/m3	 			
	Wood dust Certain hardwoods as beech and oak Softwood	1 mg/m3	10 mg/m3			
1330-20-7; 95-47-6; 108-38-3; 106-42-3	Xylene [1330-20-7] (o, m & p isomers) [95-47-6; 108-38-3; 106-42-3] 	100 ppm	150 ppm			;106.165;106.165;106.165
1300-73-8	Xylidine (mixed isomers) [1300-73-8] 	0.5 ppm 	 		Skin	
7440-65-5	Yttrium [7440-65-5] and compounds, as Y 	1 mg/m3	 			88.90585
7646-85-7	Zinc chloride fume [7646-85-7] 	1 mg/m3	2 mg/m3			
13530-65-9; 11103-86-9; 37300-23-5	Zinc chromates [13530-65-9; 11103-86-9; 37300-23-5], as Cr	0.01 mg/m3	 			181.3737;418.85304;
1314-13-2	Zinc oxide [1314-13-2] 	2 mg/m3 	10 mg/m3			81.3794
7440-67-7	Zirconium [7440-67-7] and compounds, as Zr 	5 mg/m3	10 mg/m3			91.224
98-83-9	α-Methyl styrene [98-83-9] 	10 ppm	 			118.1757
126-99-8	β-Chloroprene [126-99-8] 	10 ppm	 		Skin	88.5355
91-59-8	β-Naphthylamine [91-59-8] 		 			143.18516
57-57-8	β-Propiolactone [57-57-8] 	0.5 ppm	 			72.06266
