CASRN	Chemical	Hsub	error
69-72-7	2-hydroxybenzoic acid 	95350	
691-64-5	di-tert-butyl oxalate 	84800	600
69186-17-0	N-(diethylaminothiocarbonyl)-N’-phenylbenzamidine 	159400	3300
693-98-1	2-methylimidazole 	88400	700
694-59-7	pyridine N-oxide   	79300	1000
6958-78-7	N-benzoylthiocarbamic O-ethyl ester 	112200	1300
696-62-8	4-iodoanisole 	82500	
6964-21-2	3-thiopheneacetic acid 	100900	1900
6967-12-0	6-aminoindazole 	122000	600
6973-60-0	1-methyl-2-pyrrolecarboxylic acid 	96200	700
700-12-9	pentamethylbenzene 	74500	
700-17-4	2,3,5,6-tetrafluoroaniline 	62500	1100
700-56-1	2-methyladamantane 	68200	1300
700-57-2	adamantan-2-ol   	88400	
700-58-3	2-adamantanone 	72280	
7000-79-5	1,3,5,7-tetramethyl-2,4,6,8-tetrathiaadamantane   	117100	4100
702-98-7	2-methyl-2-adamantanol 	91350	
707-35-7	1,3,5-trimethyladamantane 	77800	1300
707-79-4	1,3-dimethyladamantane 	67800	1300
709-62-6	3,5-bis(trifluoromethyl)-1,2,4-triazole  	74700	800
71-30-7	cytosine   	166000	
711-01-3	1-adamantyl-1-carboxylic acid methyl ester 	82400	600
7124-86-9	bicyclo[3.2.2]non-6-ene 	48000	1000
716-79-0	2-phenylbenzimidazole 	123000	1700
7171-70-2	1,3,5-trimethyl-4-nitrosopyrazole 	88000	2000
718-36-5	4-nitrobenzylidene tert-butylamine 	91100	3100
723-62-6	9-anthracenecarboxylic acid 	139400	900
7273-98-5	exo-4-hydroxy-endo-endo-tetracyclo[6.2.1.1.3,6.02,7]dodecane  	79000	2500
7275-43-6	2,2'-bipyridine-N,N'-dioxide 	125000	2000
7294-89-5	4-phenylaminopent-3-ene-2-one 	89900	3800
732-26-3	2,4,6-tri-tert-butylphenol   	87500	400
7321-55-3	dimethylmalononitrile 	62000	700
7345-82-6	trans-2,3-dimethoxycinnamic acid  	141000	900
7346-41-0	2-chloroadamantane 	61500	800
7364-25-2	1,2-dihydro-3H-indazol-3-one 	127600	1500
7372-88-5	4-methyldibenzothiophene 	90300	700
74-11-3	4-chlorobenzoic acid   	105880	
7400-08-0	3-(4-hydroxyphenyl)propenoic acid (p-coumaric acid) 	130900	3300
74007-11-7	exo-4-hydroxy-exo-exo-tetracyclo[6.2.1.1.3,6.02,7]dodecane   	75900	2200
74165-74-5	3-amino-5-methoxybenzoic acid 	136100	1000
74553-57-4	9-hydroxy-1,4-anthraquinone 	109500	2200
7491-74-1	2-oxo-1-pyrrolidineacetamide 	123150	
75096-35-4	trans-1,3,5,7-tetraoxadecalin 	81500	
751-38-2	1,2,3,4-tetraphenylnaphthalene 	154200	800
758-19-0	1-methyl-1-nitrosohydrazine 	79500	400
759-10-9	2,2-dimethylpropanamide  	87800	
7597-18-4	6-nitroindazole 	117000	600
76-84-6	triphenylmethanol 	121800	1700
762-84-5	tert-butylacetamide   	77900	400
764-42-1	fumaronitrile   	68600	
7640-33-7	7-bromo-5-chloro-8-hydroxyquinoline   	113200	800
766-32-5	4-methyl-2,6,7-trioxabicyclo[2.2.2]octane 	67400	
768-90-1	1-bromoadamantane 	71600	1100
768-91-2	1-methyladamantane 	67800	1300
768-94-5	1-aminoadamantane 	61700	600
768-95-6	1-adamantanol 	86700	
769-42-6	1,3-dimethylbarbituric acid 	92300	600
771-60-8	pentafluoroaniline 	63700	1100
773-76-2	5,7-dichloro-8-hydroxyquinoline   	109300	700
77336-92-6	N,N-diethyl-N’-furoylthiourea 	132000	3500
779-02-0	9-methylanthracene 	101800	1000
7791-49-3	5-methoxybenzofurazan-1-oxide 	96000	1600
78-11-5	pentaerythritol tetranitrate 	150400	1300
781-43-1	9,10-dimethylanthracene  	113000	1700
785-80-8	N-phenyl 4-nitrobenzaldehyde imine  	126000	1300
787-70-2	4,4'-biphenyldicarboxylic acid 	196400	7100
79-05-0	propionamide 	75000	4000
79-08-3	bromoacetic acid 	83500	3000
79-11-8	chloroacetic acid 	82200	900
79-14-1	hydroxyacetic acid (glycolic acid) 	92600	600
79-16-3	N-methylacetamide 	70800	2000
79-19-6	thiosemicarbazide   	125800	1500
793716-72-0	2-tert-butyoxycarbonyl-3-methylquinoxaline N,N'-dioxide 	164100	1800
796-30-5	1,4-diphenylnaphthalene 	132500	600
80-46-6	4-tert-pentylphenol 	88300	500
81-07-2	1,1-dioxo-1,2-benzisothiazol-3(2H)-one 	112600	4200
81294-16-8	3,2':5',3"-terthiophene 	122600	800
81311-95-7	3-furanacrylic acid 	104950	
81994-74-3	N-benzoyl-N',N'-diisobutylurea 	137500	4400
82-05-3	benzanthrone 	126090	
82-07-5	9-xanthenecarboxylic acid 	128150	
82-68-8	pentachloronitrobenzene 	95400	
82-71-3	2,4,6-trinitroresorcinol 	120800	1100
824-40-8	pyridine-2-carboxylic acid N-oxide 	94400	4000
824-75-9	p-fluorobenzamide 	102800	100
82777-02-4	1,8-bis[(1,1'-biphenyl)-4-yl]naphthalene 	178500	1100
82777-03-5	1-(4-biphenylyl)naphthalene 	138900	800
83-24-9	2,5-dimethyl-1-phenylpyrrole 	83500	500
83-32-9	acenaphthene 	84000	
83-33-0	1-indanone 	81100	
83-34-1	3-methylindole 	90400	1900
83-73-8	5,7-diiodo-8-hydroxyquinoline   	126800	800
830-13-7	cyclododecanone 	83200	300
831-82-3	4-phenoxyphenol 	112800	400
831-91-4	phenyl benzyl sulfide 	98400	1400
833-48-7	10,11-dihydro-5H-dibenzo[a,d]cycloheptene 	103600	2000
84-11-7	9,10-phenanthraquinone 	108100	
84-15-1	o-terphenyl 	103000	400
84-65-1	9,10-anthraquinone 	113000	
85-01-8	phenanthrene 	91370	
85-41-6	phthalimide   	106300	1300
85688-95-5	(1,1-dimethylpropyl)ethylpropanedinitrile 	76200	800
85688-96-6	methyl(1,1,1-trimethylpropyl)propanedinitrile 	62000	700
86-28-2	N-ethylcarbazole 	98100	
86-53-3	1-cyanonaphthalene 	88350	
86-55-5	1-naphthoic acid 	111750	
86-57-7	1-nitronaphthalene 	95100	400
86-73-7	fluorene 	87070	
86-74-8	carbazole 	104300	500
86-87-3	1-naphthaleneacetic acid 	112300	900
86-96-4	quinazoline-2,4(1H,3H)-dione 	128300	2200
86-98-6	4,7-dichloroquinoline 	89500	2300
87-61-6	1,2,3-trichlorobenzene 	75100	750
87-65-0	2,6-dichlorophenol 	77550	
87-66-1	1,2,3-trihydroxybenzene 	110450	
87-85-4	hexamethylbenzene 	84170	
87-86-5	pentachlorophenol 	91600	500
87-99-0	xylitol 	161000	
873-50-7	3-methyl-1-pyrazolecarboxamide 	93500	1100
874-14-6	1,3-dimethyluracil   	96400	1400
875-74-1	(d) ?-phenylglycine 	165000	6000
877-43-0	2,6-dimethylquinoline 	84500	1500
877-89-4	trimethyl isocyanurate 	88200	
88-06-2	2,4,6-trichlorophenol 	82300	300
88-13-1	3-thiophenecarboxylic acid 	91900	900
88-14-2	2-furancarboxylic acid 	88400	1500
88-58-4	2,5-di-tert-butyl-1,4-dihydroxybenzene 	122400	1700
88-60-8	2-tert-butyl-5-methylphenol 	79700	1300
88-65-3	2-bromobenzoic acid   	102200	
88-67-5	2-iodobenzoic acid   	102800	
88-73-3	1-chloro-2-nitrobenzene 	80850	
88-74-4	2-nitroaniline 	89000	700
88-75-5	2-nitrophenol 	73300	
88-89-1	2,4,6-trinitrophenol 	105100	1600
88-99-3	phthalic acid 	129800	600
881-07-2	8-nitroquinaldine 	111000	800
88381-75-3	2,2-dinitroadamantane 	96400	1400
89-32-7	1,2,4,5-benzenetetracarboxylic dianhydride (pyromellitic acid dianhydride) 	122300	2400
89-41-8	4-methoxy-3-nitrobenzoic acid 	131200	800
89-61-2	2,5-dichloro-1-nitrobenzene 	87400	2400
89-64-5	4-chloro-2-nitrophenol 	87600	900
89-83-8	2-isopropyl-5-methylphenol 	91500	
89-86-1	2,4-dihydroxybenzoic acid   	126400	800
893-33-4	4,4,4-trifluoro-1-(2-naphthyl)-butan-1,3-dione 	108700	600
90-01-7	2-hydroxybenzyl alcohol 	99500	1500
90-16-4	1,2,3-benzotriazin-4(3H)-one 	111300	3400
90-43-7	2-hydroxybiphenyl 	88500	900
90-44-8	anthrone 	105930	
90-46-0	9-xanthenol 	115200	1700
90-47-1	xanthone 	102360	
90-98-2	4,4’-dichlorobenzophenone 	117500	300
900-91-4	3,3,3-triphenylpropanoic acid 	151800	900
90473-84-0	N-(diethylaminothiocarbonyl)benzimido ethyl ester 	135600	2600
90473-92-0	N-(diethylaminothiocarbony)-N-monoethylbenzamide 	141200	1200
90473-97-5	N-(diethylaminothiocarbonyl)-N’,N’-diethylbenzamide 	122200	2000
91-01-0	diphenylmethanol 	105700	700
91-10-1	2,6-dimethoxyphenol 	98400	1100
91-15-6	1,2-dicyanobenzene   	86900	1500
91-19-0	quinoxaline  	68000	
91-20-3	naphthalene 	72190	
91-40-7	N-phenylanthranilic acid 	126000	1300
91-52-1	2,4-dimethoxybenzoic acid 	121950	
91-55-4	2,3-dimethylindole 	86800	300
91-56-5	1H-indole-2,3-dione (isatin) 	118800	5100
91-58-7	2-chloronaphthalene 	75700	300
91-64-5	coumarin 	89250	
91563-76-7	1-nitro-2,6-diisopropylbenzene 	80600	1000
918-37-6	hexanitroethane   	70700	
92-06-8	m-terphenyl 	118600	700
92-24-0	naphthacene   	143700	500
92-44-4	2,3-dihydroxynaphthalene 	109600	1000
92-52-4	biphenyl 	82000	
92-69-3	4-hydroxybiphenyl 	109800	1000
92-82-0	phenazine 	92030	
92-83-1	xanthene 	92600	
92-84-2	phenothiazine   	114500	400
92-85-3	thianthrene 	106400	600
92-88-6	4,4'-dihydroxybiphenyl   	143000	2000
92-92-2	4-biphenylcarboxylic acid 	127500	4100
92-94-4	p-terphenyl 	123000	
92636-36-7	1-(4-iodophenyl)pyrrole 	100700	500
927-67-3	N-propylurea 	101400	600
929692-87-5	2-carbamoyl-3-methylquinoxaline N-oxide 	138000	600
929692-89-7	2-phenylcarbamoyl-3-methylquinoxaline N-oxide 	145100	2300
93-07-2	3,4-dimethoxybenzoic acid 	127950	
93-09-4	2-naphthoic acid 	116050	
93-35-6	1-hydroxycoumarin 	133600	1500
93-37-8	2,7-dimethylquinoline 	87500	1500
93-91-4	1-phenyl-1,3-butanedione 	91000	600
93-98-1	benzanilide  	125400	2300
93-99-2	phenylbenzoate 	99000	400
930-21-2	2-azetidinone 	77750	
930-35-8	1,3-dithiole-2-thione   	75400	400
930-88-1	N-methylmaleimide 	73300	500
931-19-1	2-methylpyridine N-oxide 	85550	
932-52-5	5-aminouracil   	138100	
934-36-1	4,5-benzo-1,3-dithiole-2-thione 	118800	400
935-30-8	azacyclononan-2-one 	102300	500
939-19-5	3-hydroxycoumarin 	91900	600
94-13-3	propyl 4-hydroxybenzoate 	123700	600
94-26-8	butyl 4-hydroxybenzoate 	108400	800
94-36-0	benzoyl peroxide   	97900	2500
94-53-1	1,3-benzodioxole-5-carboxylic acid 	117200	1800
94-67-7	2-hydroxybenzaldoxime 	105200	10000
94-75-7	acetic acid 	120000	
94-82-6	4-(2,4-dichlorophenoxy)butyric acid 	149000	2000
94098-94-9	3-(methoxycarbonyl)-2-methylquinoxaline-1-oxide 	129200	4100
943-89-5	trans-4-methoxycinnamic acid  	134000	1000
943757-10-6	4-amino-N-(2,3-chlorophenyl)benzene sulfonamide 	141100	700
946-39-4	ethyl trans-2-phenylcyclopropanecarboxylate 	96900	400
947-04-6	azacyclotridecan-2-one 	110600	800
947-84-2	2-biphenylcarboxylic acid 	121300	4300
949171-64-6	N-theonylthiocarbamic-O-propyl ester 	136500	1800
949171-65-7	N-theonylthiocarbamic-O-butyl ester 	147500	1900
949171-66-8	N-theonylthiocarbamic-O-pentyl ester 	165600	2100
949171-67-9	N-theonylthiocarbamic-O-hexyl ester 	180100	3000
95-14-7	1-H-benzotriazole 	98600	
95-15-8	benzo[b]thiophene 	65700	200
95-20-5	2-methylindole 	88700	2400
95-48-7	2-hydroxytoluene 	73700	500
95-54-5	1,2-diaminobenzene 	87650	
95-55-6	2-aminophenol   	100400	
95-71-6	2-methyl-1,4-dihydroxybenzene 	104400	
95-77-2	3,4-dichlorophenol 	85550	
95-82-9	2,5-dichloroaniline 	83400	1300
95-93-2	1,2,4,5-tetramethylbenzene 	72900	
95-94-3	1,2,4,5-tetrachlorobenzene 	83200	300
95-96-5	(dl) 3,6-dimethyl-1,4-dioxane-2,5-dione 	91600	400
95600-05-8	N,N-diethyl-N’-isobutanoylthiourea 	120800	2500
96-31-1	1,3-dimethylurea 	89300	400
96-53-7	2-mercapto-2-thiazoline 	100500	3400
96-65-8	3,4-dimethylphenol 	85050	
96-76-4	2,4-di-tert-butylphenol 	89800	
96-98-0	4-methyl-3-nitrobenzoic acid 	118600	2500
961-38-6	2,4,6-tri-tert-butylaniline 	92500	1100
98-10-2	benzenesulfonamide 	115300	1700
98-29-3	1,2-dihydroxy-4-tert-butylbenzene 	99250	
98-54-4	4-tert-butylphenol 	87650	
98-73-7	4-tert-butylbenzoic acid 	105300	
98-92-0	3-pyridinecarboxamide (nicotinamide) 	121200	3300
98-96-4	pyrazine carboxamide (pyrazinamide) 	120000	2100
98-97-5	2-pyrazinecarboxylic acid 	103600	2900
98-98-6	2-pyridinecarboxylic acid 	95350	
99-02-5	3'-chloroacetophenone   	64000	1700
99-04-7	3-methylbenzoic acid 	97000	300
99-05-8	3-aminobenzoic acid   	128000	3200
99-06-9	3-hydroxybenzoic acid 	121650	
99-09-2	3-nitroaniline 	96500	300
99-10-5	3,5-dihydroxybenzoic acid   	143200	1800
99-30-9	2,6-dichloro-4-nitroaniline 	109200	900
99-35-4	1,3,5-trinitrobenzene 	107300	600
99-50-3	3,4-dihydroxybenzoic acid   	135100	1200
99-54-7	3,4-dichloro-1-nitrobenzene 	84450	
99-65-0	1,3-dinitrobenzene 	87000	800
99-75-2	methyl p-toluate 	81750	
99-76-3	4-hydroxybenzoic acid, methyl ester 	98800	800
99-91-2	4’-chloroacetophenone 	63100	1700
99-94-5	4-methylbenzoic acid   	98700	
99-96-7	4-hydroxybenzoic acid   	119050	
99-99-0	4-nitrotoluene 	77670	
99081-88-6	N-(4-isopropylphenylmethylene) benzenamine N-oxide   	127200	1700
