CASRN	Chemical	Hvap298
321-28-8	2-fluoroanisole 	52100
3220-58-4	dicyclohexyl glutarate 	101100
3221-61-2	2-methyloctane 	44900
32210-23-4	acetic acid, 4-tert-butylcyclohexyl ester 	63800
3234-49-9	1,2-dibromopentane 	49100
32451-95-9	(Z) 3-dodecen-1-ol 	89300
3249-46-5	isopropyl tert-amyl ether 	41600
3249-47-6	butyl tert-amyl ether 	48300
327-54-8	1,2,4,5-tetrafluorobenzene 	37200
32765-69-8	glycerol triformate 	78500
32786-47-3	2,2-diacetoxypropane 	53600
328-84-7	1-(trifluoromethyl)-3,4-dichlorobenzene 	41800
32846-66-5	pentacyclo[4.2.0.02,5.03,8.04,7]octane-1,4-dicarboxylic acid 	122500
32970-45-9	1-methyl-1-tert-butoxypropane 	40300
3299-05-6	(1-ethoxyethyl)benzene 	52500
330-17-0	2-chloro-1,1,2-trifluoroethyl isopropyl ether 	39200
3301-94-8	delta-nonanolactone 	70700
33021-02-2	tert-butyl isobutyl ether 	40100
33100-27-5	1,4,7,10,13-pentaoxacyclopentadecane 	77700
33189-72-9	(E) 11-tetradecenyl acetate 	90400
3319-01-5	N-cyclohexylpiperidine 	60500
3319-03-7	2-(dimethylamino)-1-phenylethanone 	69700
33214-18-5	1-propyl-2-methylimidazole 	63700
33284-50-3	2,4-dichlorobiphenyl 	75300
333-36-8	1,1,1-trifluoro-2-(2,2,2-trifluoroethoxy)ethane 	35000
333-57-9	perfluoroheptane 	36100
334-68-9	1-fluorododecane 	64000
33475-22-8	dispiro[2.0.2.1]heptane 	35100
3348-44-5	bis(dimethylamino)chlorophosphine 	45900
335-04-4	perfluoro-2-methylpentane 	31400
335-21-7	perfluoroethylcyclohexane 	38700
335-44-4	2,3,3-trichloroheptafluorobutane 	35600
335-65-9	1,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8-heptadecafluorooctane 	43400
3350-30-9	cyclononanone 	53100
33529-01-0	1-hexylimidazole 	73100
33529-02-1	1-decylimidazole 	89600
3354-32-3	2-(5H)-thiophenone 	56000
33564-24-8	difluorooxo(trifluoromethyl)(pentafluoroethyl) sulfur 	28000
33564-25-9	difluorobis[1,1,2,2,2-pentafluorothananaminato]sulfur 	31200
33622-15-0	difluorobis(pentafluoroethyl) sulfur 	34000
33670-50-7 	azidocyclopentane 	41300
33757-10-7	N,1,1-trichloro-N,1-difluoromethylamine 	27800
33785-99-8	3,3,6,6-tetraethyl-1,2,4,5-tetraoxacyclohexane 	50100
338-83-3	tris(heptafluoropropyl)amine 	46800
3386-33-2	1-chlorooctadecane 	108800
3390-13-4	2-propyl-1,3-dioxolane 	45300
33951-95-0	(Z) 11-tridecenyl acetate 	86400
34010-13-4	(E) 5-tetradecenyl acetate 	89100
34010-15-6	(Z) 11-tetradecen-1-ol 	101700
34010-18-9	(Z) 5-hexadecenyl acetate 	98000
34010-19-0	(Z) 6-hexadecenyl acetate 	97800
34010-20-3	(Z) 9-hexadecenyl acetate 	98200
34010-21-4	(Z) 11-hexadecenyl acetate 	98900
34010-24-7	(Z) 11-tridecen-1-ol 	97100
3404-58-8	3-ethyl-1-hexene 	38500
3404-61-3	(dl) 3-methyl-1-hexene 	34300
3404-67-9	2-ethyl-3-methyl-1-pentene 	38900
3404-71-5	2-ethyl-1-pentene 	35100
3404-73-7	3,3-dimethylpent-1-ene 	33500
3404-77-1	3,3-dimethyl-1-hexene 	36000
3404-78-2	2,5-dimethyl-2-hexene 	38900
3404-80-6	2-ethyl-4-methyl-1-pentene 	38500
34270-22-9	(Z) 7-tridecenyl acetate 	84300
3438-46-8	4-methylpyrimidine 	44000
3438-48-0	4-phenylpyrimidine 	68800
344-04-7	bromopentafluorobenzene 	43100
344-07-0	chloropentafluorobenzene 	41300
34500-33-9	(E) 6-hexadecen-1-ol 	111000
3452-07-1	1-eicosene 	100000
3452-97-9	3,5,5-trimethyl-1-hexanol 	67900
3459-80-1	tert-butyl benzyl ether 	57300
3459-83-4	1,3-diethoxypropane 	45900
348-54-9	2-fluoroaniline 	52000
34859-98-8	1,1-dimethylbutyl acetate 	45600
34883-39-1	2,5-dichlorobiphenyl 	76800
34949-22-9	tert-pentyl propionate 	45500
34994-81-5	1-iodoeicosane 	118500
350-03-8	3-acetylpyridine 	66100
350-46-9	4-fluoronitrobenzene 	56000
350-50-5	benzyl fluoride 	45900
35042-99-0	3-difluoromethoxy-1,1,2,2-tetrafluoropropane 	35900
35065-27-1	2,2’,4,4’,5,5’-hexachlorobiphenyl 	103500
35148-18-6	(Z) 9-dodecen-1-ol 	91100
35148-19-7	(E) 9-dodecenyl acetate 	81000
35148-20-0	(Z) 10-dodecenyl acetate 	81400
35153-09-4	(E) 10-dodecenyl acetate 	81500
35153-13-0	(Z) 5-tetradecenyl acetate 	88300
35153-15-2	(Z) 9-tetradecen-1-ol 	100600
35153-16-3	(Z) 10-tetradecenyl acetate 	89600
35153-17-4	(E) 10-tetradecenyl acetate 	89900
35153-18-5	(E) 11-tetradecen-1-ol 	101800
35153-20-9	(Z) 12-tetradecenyl acetate 	90900
35153-21-0	(E) 12-tetradecenyl acetate 	90800
35153-25-4	(Z) 11-pentadecenyl acetate 	94600
352-32-9	4-fluorotoluene 	39500
352-93-2	diethyl sulfide 	35700
35203-44-2	1-propylimidazole 	61100
3522-94-9	2,2,5-trimethylhexane 	40200
35237-62-8	(E) 9-dodecen-1-ol 	91700
35237-63-9	(E) 10-dodecen-1-ol 	91900
35237-64-0	(Z) 11-tetradecenal 	80300
3524-73-0	5-methyl-1-hexene 	34300
3524-75-2	allylcyclopentane 	40400
35289-30-6	(Z) 10-dodecen-1-ol 	92400
35328-43-9	perfluoro-1-decene 	45200
354-06-3	1-bromo-2-chloro-1,1,2-trifluoroethane 	30000
354-15-4	1,2-difluoro-1,1,2-trichloroethane 	33100
354-21-2	1,1-difluoro-1,2,2-trichloroethane 	32900
354-23-4	1,1,2-trifluoro-1,2-dichlorochloroethane 	26800
354-51-8	2-chloro-1,2-dibromo-1,1,2-trifluoroethane 	35000
354-58-5	1,1,1-trichloro-2,2,2-trifluoroethane 	28700
354-96-1	perfluoro-2,3-dimethylbutane 	31600
355-02-2	perfluoromethylcyclohexane 	34900
355-42-0	perfluorohexane 	32100
355-49-7	n-perfluorohexadecane 	88400
355-68-0	perfluorocyclohexane 	36000
355-75-9	perfluorocyclohexene 	31000
3554-74-3	1-methyl-3-piperidinol 	73000
35599-77-0	1-iodotridecane 	85000
35599-78-1	1-iodopentadecane 	94600
356-62-7	perfluorodipropyl ether 	31200
35709-10-5	trifluorothioacetic acid, S-(2-fluoroethyl) ester 	41400
35709-11-6	trifluoroacetic acid, S-(2,2-difluoroethyl) ester 	39300
35746-21-5	(E) 11-tetradecenal 	80500
3575-19-7	cumyl bromide 	58000
35794-11-7	3,5-dimethylpiperidine 	49100
358-36-1	2-chloro-1,1,2-trifluoroethyl butyl ether 	45100
35814-49-4	bis(trifluoromethyl) thiophospinic acid 	38300
35835-77-9	(Z) 9-pentadecenyl acetate 	93600
35835-78-0	(Z) 9-tridecenyl acetate 	85100
35835-80-4	(Z) 8-tetradecenyl acetate 	88700
3586-58-1	2-ethylpropenoic acid 	52100
359-70-6	perfluorotriethylamine 	34100
3612-18-8	1-ethyl-4-piperidone 	56700
3612-20-2	1-benzyl-4-piperidone 	78000
363-72-4	pentafluorobenzene 	36200
363-73-5	2,3,4,6-tetrafluoroaniline 	50400
364-74-9	2,5-difluoronitrobenzene 	58700
366-18-7	2,2'-bipyridine 	67000
3664-56-0	1,2,2-trimethylcyclopropene 	27400
36653-82-4	1-hexadecanol 	109700
367-11-3	1,2-difluorobenzene 	36200
367-12-4	2-fluorophenol 	52300
367-25-9	2,4-difluoroaniline 	52100
367-27-1	2,4-difluorophenol 	58800
367-30-6	2,5-difluoroaniline 	52500
367-57-7	1,1,1-trifluoropentane-2,4-dione 	37200
3681-78-5	propyl dodecanoate 	84700
3683-19-0	cis 4-methyl-2-hexene 	34700
3683-22-5	trans 4-methyl-2-hexene 	34700
36880-33-8	5-ethyl-2-thiophenecarboxaldehyde 	62200
36880-72-5	3-ethyl-cis-2-hexene 	39700
369-34-6	3,4-difluoronitrobenzene 	55500
3698-94-0	1-ethylthiooctane 	63900
37011-95-3	(E) 7-tetradecen-1-ol 	100500
37011-96-4	(E) 7-tetradecenal 	79200
37031-38-2	2-chloro-1,1,2-trifluoroethyl chlorofluoromethyl ether 	37500
371-40-4	4-fluoroaniline 	54800
37136-24-6	chlorodifluoromethyl 2,2-dichloro-1,1,2-trifluoroethyl ether 	33800
372-18-9	1,3-difluorobenzene 	34600
372-19-0	3-fluoroaniline 	54700
372-20-3	3-fluorophenol 	60100
372-38-3	1,3,5-trifluorobenzene 	33900
372-46-3	fluorocyclohexane 	37500
372-47-4	3-fluoropyridine 	45200
372-48-5	2-fluoropyridine 	43500
373-44-4	octane-1,8-diamine 	71700
374-01-6	1,1,1-trifluoro-2-propanol 	44800
374-59-4	perfluoro(propylcyclohexane) 	43100
3741-00-2	n-pentylcyclopentane 	51000
3744-02-3	2-methyl-1-penten-4-one 	41900
375-83-7	1,1,1,2,2,3,3,4,4,5,5,6,6,7,7-pentafluoroheptane 	37700
375-96-2	perfluorononane 	45300
37549-89-6	cis 2,4-dimethyl-3-hexene 	38500
37589-57-4	perfluoroeicosane 	113700
3759-55-5	1,1-dinitrobutane 	64900
3759-56-6	1,1-dinitropentane 	64400
376-03-4	perfluorotridecane 	70600
376-65-8	nonafluorocyclopentane 	29400
376-77-2	perfluorocyclopentane 	26000
3764-01-0	2,4,6-trichloropyrimidine 	55600
3769-23-1	(dl) 4-methyl-1-hexene 	34700
37784-63-7	ethyl 3-thiopheneacetate 	63200
378-16-5	1,1,1,2,2-pentafluoro-3-methoxypropane 	31600
37850-75-2	allyl tert-butyl sulfide 	44800
380-43-8	2-chloro-1,1,2-trifluoroethyl propyl ether 	41000
3822-68-2	pentafluorodimethyl ether 	15600
38363-24-5	(Z) 3-dodecenyl acetate 	79300
38363-25-6	(Z) 4-dodecenyl acetate 	78600
38363-26-7	(E) 4-dodecenyl acetate 	79800
38363-29-0	(E) 8-dodecenyl acetate 	80500
38379-99-6	2,2’,3,5’,6-pentachlorobiphenyl 	92300
38380-08-4	2,3,3’,4,4’,5-hexachlorobiphenyl 	112600
384-94-1	1,1,1-trifluoro-2,2-diphenylethane 	69100
38421-90-8	(E) 5-decenyl acetate 	70600
38421-92-0	(E) 6-decen-1-ol 	80600
38451-18-2	cis bicyclo[4.3.0]nona-3,7-diene 	44900
3862-73-5	2,3,4-trifluoroaniline 	53700
3863-11-4	3,4-difluoroaniline 	53300
3875-51-2	isopropylcyclopentane 	38700
3877-15-4	methyl propyl sulfide 	36200
3880-49-7	diisopropyldiazene 	35900
3886-69-9	(+)alpha-methylbenzylamine 	54100
3899-36-3	trans 3-methyl-3-hexene 	35800
39099-23-5	N-butyl isopropylamine 	42100
39198-34-0	bis(1,1,3,3-tetramethylbutyl)diazene 	66500
392-56-3	hexafluorobenzene 	36000
392-85-8	1-(trifluoromethyl)-2-fluorobenzene 	38100
3937-56-2	1,9-nonanediol 	112100
3938-95-2	ethyl pivalate 	41300
394-47-8	2-fluorobenzonitrile 	53400
39522-76-4	1-phenyl-4,7-dioxaspiro[2.4]heptane 	71300
39650-10-7	(E) 6-tetradecenyl acetate 	88900
39650-11-8	(Z) 6-tetradecenyl acetate 	88100
39761-61-0	5,5-dimethyl-cis-2-hexene 	38100
39761-64-3	3,4,4-trimethyl-cis-2-pentene 	38900
3978-81-2	4-tert-butylpyridine 	52700
39782-43-9	5,5-dimethyl-trans-2-hexene 	38100
398995-30-7	N,N-diethyl-N’-isovaleroylthiourea 	121500
398995-31-8	N,N-diethyl-N’-pivaloylthiourea 	114900
4013-34-7	(1-methoxyethyl)benzene 	49100
402-67-5	3-fluoronitrobenzene 	54800
4026-05-5	1,2-dihydroxy-3-tert-butylbenzene 	73500
4028-56-2	meso 2,3-dichlorobutane 	38400
403-33-8	methyl 4-fluorobenzoate 	56000
403-54-3	3-fluorobenzonitrile 	51700
4032-86-4	3,3-dimethylheptane 	42600
4032-92-2	2,4,4-trimethylheptane 	45200
4032-93-3	2,3,6-trimethylheptane 	47300
4032-94-4	2,4-dimethyloctane 	48500
4038-04-4	3-ethyl-1-pentene 	34300
4050-45-7	trans 2-hexene 	31800
40535-40-8	(E) 11-pentadecenyl acetate 	94900
405506-46-9	propyl tert-octyl ether 	50100
4061-29-4	2-(diethylamino)-1-phenylethanone 	71600
40642-37-3	(Z) 4-dodecen-1-ol 	89900
40642-38-4	(Z) 5-dodecen-1-ol 	90200
40642-39-5	(Z) 6-dodecen-1-ol 	90200
40642-40-8	(Z) 8-dodecen-1-ol 	91000
40642-41-9	(Z) 4-tetradecen-1-ol 	100000
40642-42-0	(Z) 5-tetradecen-1-ol 	100300
40642-43-1	(Z) 7-tetradecen-1-ol 	99900
40642-45-3	(Z) 6-hexadecen-1-ol 	110500
4096-20-2	N-phenylpiperidine 	64300
4110-44-5	3,3-dimethyloctane 	48500
4110-50-3	ethyl propyl sulfide 	39800
41207-35-6	(Z) 3-octadecen-1-ol 	120500
41207-36-7	(E) 3-octadecen-1-ol 	120000
41464-40-8	2,2’,4,5’-tetrachlorobiphenyl 	87400
41464-41-9	2,2’,5,6’-tetrachlorobiphenyl 	84900
4157-77-1	(1-butoxyethyl)benzene 	59800
4164-29-8	N-nitrodipropylamine 	57300
4170-30-3	crotonaldehyde 	37300
4181-95-7	tetracontane 	203500
420-12-2	ethylene sulfide 	30300
42032-30-4	1-decyl-2-methylimidazole 	91800
42067-48-1	4-methyl-3-ethyl-cis-2-pentene 	39300
42067-49-2	4-methyl-3-ethyl-trans-2-pentene 	38900
422-05-9	2,2,3,3,3-pentafluoro-1-propanol 	42900
4221-98-1	sabinene 	46900
42217-02-7	1-chloroeicosane 	120200
4222-33-7	2,2-difluoro-1,2-dichloro-N-(trifluoromethyl)ethylidenimine 	31200
423-02-9	perfluoro(isopropylcyclohexane) 	46700
4238-71-5	1-benzylimidazole 	79200
42474-21-5	(dl) 1,2-dibromoheptane 	54400
425-87-6	2-chloro-1,1,2-trifluoroethyl methyl ether 	34400
42513-42-8	(E) 8-dodecen-1-ol 	91000
4253-89-8	diisopropyl disulfide 	44500
4254-02-8	cyclopentanecarbonitrile 	45000
4254-15-3	(S)-1,2-propanediol 	69200
4259-00-1	1,1,2-trimethylcyclopentane 	37200
4279-22-5	2,2-dichlorobutane 	35600
428-73-9	trichloromethyl 2,2-dichloro-1,1,2-trifluoroethyl ether 	45700
428-92-2	2-chloro-1,1,2-trifluoroethyl chloromethyl ether 	42400
4282-40-0	1-iodoheptane 	55000
4282-42-2	1-iodononane 	64500
4282-44-4	1-iodoundecane 	74800
4286-49-1	1,4-dinitrobutane 	77400
4292-19-7	1-iodododecane 	79900
4292-75-5	hexylcyclohexane 	58300
4292-92-6	pentylcyclohexane 	54000
43052-39-7	di-tert-butyl glutarate 	71700
431-89-0	1,1,1,2,3,3,3-heptafluoropropane 	18900
4316-35-2	acetophenone dimethyl ketal 	54000
434-64-0	perfluorotoluene 	40800
4351-54-6	cyclohexyl formate 	50300
4352-95-8	2-methyl-2-pentyl-1,3-dioxolane 	54000
4352-98-1	2-methyl-2-propyl-1,3-dioxolane 	46300
4359-34-6	2,2-diphenyl-1,3-dioxolane 	84600
439152-54-2	1,1,1,2,4,4-hexafluoro-2-(trifluoromethoxy)butane 	33800
4405-16-7	2-methyl-2-isopropyl-1,3-dioxolane 	44300
4413-13-2	1-butoxy-2-ethoxyethane 	50900
4415-90-1	1,1-dimethoxycyclobutane 	42000
4426-11-3	cyclobutanecarbonitrile 	42200
4426-46-4	methyl butyldiazene 	36400
4426-48-6	(dl) 1,2-butanediamine 	46600
443-86-7	3-fluoro-2-methylaniline 	57800
4431-82-7	3,5,7,9-tetraoxaundecane 	53600
4436-99-1	2,2,6,6-tetramethyl-4-heptanone 	52900
4437-85-8	butylene carbonate 	63500
4439-20-7	N,N-bis(2-hydroxyethyl)ethylenediamine 	106400
445-28-3	o-fluorobenzamide 	73600
4457-00-5	hexylcyclopentane 	55900
446-35-5	2,4-difluoronitrobenzene 	58500
447-53-0	1,2-dihydronaphthalene 	53400
4480-83-5	diglycolic anhydride 	74500
4497-92-1	(+) 2-carene 	48500
4505-48-0	2-phenylindene 	84300
4513-94-4	2-pyrrolecarbonitrile 	65300
4516-69-2	1,1,3-trimethylcyclopentane 	36000
4518-10-9	methyl 3-aminobenzoate 	78200
4519-40-8	2,3-difluoroaniline 	49300
452-71-1	4-fluoro-2-methylaniline 	59800
452-80-2	2-fluoro-4-methylaniline 	56600
452-84-6	2-fluoro-5-methylaniline 	56900
45241-53-0	tri-(2-methylbutyl) phosphate 	86400
455-37-8	m-fluorobenzamide 	83200
456-49-5	3-fluoroanisole 	48100
4565-32-6	2,3-dihydrobenzo[b]thiophene 	59100
459-60-9	4-fluoroanisole 	48700
460-69-5	1,1-dichloro-3,3,3-trifluoropropane 	34100
462-06-6	fluorobenzene 	34500
462-94-2	pentane-1,5-diamine 	58300
462-95-3	formaldehyde diethyl acetal 	35700
463-11-6	1-fluorooctane 	49700
463-18-3	1-fluorononane 	50800
463-40-1	(9Z,12Z,15Z)-9,12,15-octadecatrienoic acid 	136900
463-82-1	2,2-dimethylpropane (neopentane) 	21800
464-06-2	2,2,3-trimethylbutane 	32200
464-07-3	(dl) 3,3-dimethyl-2-butanol 	53800
464-36-8	bis(undecafluoropentyl)ether 	48900
464-49-3	camphor 	54900
4669-01-6	pentadecylcyclopentane 	100300
4695-62-9	fenchone 	51400
470-82-6	1,8-cineole 	51100
4740-00-5	3-methyltetrahydrothiophene 	42400
4747-21-1	N-methyl isopropyl amine 	30700
4783-65-7	1-benzyl-2-piperidone 	91300
4789-40-6	2,5-di-tert-butylfuran 	56100
479-27-6	1,8-diaminonaphthalene 	79600
4806-61-5	ethylcyclobutane 	31900
4810-09-7	3-methyl-1-heptene 	38500
4843-89-4	1,12-dodecanediamine 	89200
486-25-9	9-fluorenone 	79900
4860-03-1	1-chlorohexadecane 	95400
4861-58-9	2-pentylthiophene 	52000
4862-03-7	1-chloropentadecane 	92600
488-23-3	1,2,3,4-tetramethylbenzene 	54600
489-91-3	4-methylcyclohexanol 	65900
4893-13-4	2-methylbicyclo[2.2.2]oct-2-ene 	43500
491-35-0	4-methylquinoline 	67600
4912-92-9	1,1-dimethylindane 	51900
4914-89-0	cis 3-methyl-3-hexene 	36400
4914-91-4	cis 3,4-dimethylpent-2-ene 	34700
4914-92-5	trans 3,4-dimethylpent-2-ene 	35100
493-09-4	1,4-benzodioxan 	67400
4945-48-6	N-butylpiperidine 	48900
496-11-7	indane 	49000
496-14-0	1,3-dihydroisobenzofuran 	53700
496-15-1	indoline 	61400
496-16-2	2,3-dihydrobenzofuran 	53200
497-23-4	2-(5H)-furanone 	55600
497-37-0	exo-norborneol 	52500
497-38-1	2-norbornanone 	50400
498-15-7	(+) 3-carene 	48500
498-60-2	3-furanaldehyde 	48100
498-62-4	3-thiophenecarboxyaldehyde 	52600
498-66-8	bicyclo[2.2.1]hept-2-ene 	35100
50-32-8	benzo[a]pyrene 	111400
500-24-3	bicyclo[2.2.2]octa-2,5,7-triene 	42900
5008-73-1	isopropyl propyl sulfide 	41800
501-53-1	benzyl chloroformate 	38500
502-41-0	cycloheptanol 	66100
502-42-1	cycloheptanone 	50700
502-44-3	epsilon-caprolactone 	61300
502-49-8	cyclooctanone 	52700
502-56-7	5-nonanone 	50900
5026-76-6	6-methyl-1-heptene 	38900
503-17-3	2-butyne 	26700
503-30-0	oxetane 	29800
503-74-2	3-methylbutanoic acid (isovaleric acid) 	59400
504-63-2	1,3-propanediol 	69900
50422-80-5	5-methyl-cis-3-heptene 	38900
505-22-6	1,3-dioxane 	39100
505-48-6	octanedioic acid 	116700
506-12-7	heptadecanoic acid 	127300
506-26-3	6-cis,9-cis,12-cis-octadecatrienoic acid 	135900
506-30-9	eicosanoic acid 	143700
506-42-3	(E) 9-octadecen-1-ol 	120100
506-52-5	1-hexacosanol 	148000
507-19-7	2-bromo-2-methylpropane 	31400
507-20-0	2-chloro-2-methylpropane 	28800
508181-43-9	pentyl tert-octyl ether 	55900
508181-44-0	hexyl tert-octyl ether 	59500
51-66-1	p-methoxyacetanilide 	92000
51-80-9	bis(dimethylamino)methane 	32700
5104-49-4	2-fluoro-gamma-methyl[1,1'-biphenyl]-4-acetic acid (R,S flurbiprofen) 	127500
51065-65-7	6-methyl-trans-2-heptene 	39300
51146-56-6	(S)-ibuprofen 	106000
512-51-6	1-ethoxy-1,1,2,2-tetrafluoroethane 	33000
512-56-1	trimethyl phosphate 	47500
5129-37-3	butyl pivalate 	50000
513-36-0	1-chloro-2-methylpropane 	31700
513-37-1	1-chloro-2-methyl-1-propene 	33200
513-38-2	1-iodo-2-methylpropane 	38800
513-42-8	2-methyl-2-propen-1-ol 	51900
513-44-0	2-methyl-1-propanethiol 	34600
513-48-4	2-iodobutane 	38400
513-53-1	(dl) 2-butanethiol 	34100
513-86-0	3-hydroxy-2-butanone 	48700
51309-20-7	(Z) 2-tetradecenyl acetate 	89100
51309-21-8	(E) 2-tetradecenyl acetate 	90300
51323-70-7	octyl tert-butyl ether 	61400
5137-45-1	1-ethoxy-2-methoxyethane 	39800
514-03-4	perfluoro-N-methyl-N,N-dibutylamine 	48500
5145-99-3	ethyl isopropyl sulfide 	38100
515-35-9	2-methyl-2-butene 	27100
515-84-4	ethyl trichloroacetate 	51000
51534-36-2	(E) 2-tetradecenal 	82600
51652-47-2	(Z) 5-decen-1-ol 	80300
5171-84-6	3,3,4,4-tetramethylhexane 	42300
5171-86-8	3,3,4,4-tetraethylhexane 	64500
51750-65-3	2,2,4,4-tetramethylhexane 	43500
51824-10-3	(E) 7-hexadecen-1-ol 	111400
519-73-3	triphenylmethane 	94300
52480-43-0	4,5-dimethyl-2-furaldehyde 	57700
52486-76-7	2-(dimethylamino)-2-methyl-1-phenylpropanone 	66700
526-73-8	1,2,3-trimethylbenzene 	49000
5263-87-6	6-methoxyquinoline 	78100
52663-71-5	2,2’,3,3’,4,4’,6-heptachlorobiphenyl 	109100
52688-75-2	3-fluorohexane 	36800
527-53-7	1,2,3,5-tetramethylbenzene 	53700
527-84-4	2-isopropyltoluene 	50600
52896-87-4	4-isopropylheptane 	47300
52896-88-5	2-methyl-4-ethylheptane 	47300
52896-89-6	3-methyl-4-ethylheptane 	47700
52896-90-0	3-methyl-5-ethylheptane 	47700
52896-91-0	4-methyl-3-ethylheptane 	48100
52896-92-1	2,2,3-trimethylheptane 	46900
52896-93-2	2,3,3-trimethylheptane 	46900
52896-95-4	2,3,4-trimethylheptane 	47300
52896-99-8	2,2-dimethyl-4-ethylhexane 	45200
52897-00-4	2,3-dimethyl-3-ethylhexane 	46900
52897-01-5	2,3-dimethyl-4-ethylhexane 	46900
52897-03-7	2,4-dimethyl-4-ethylhexane 	46400
52897-04-8	2,5-dimethyl-3-ethylhexane 	46400
52897-05-9	3,3-dimethyl-4-ethylhexane 	46400
52897-06-0	3,4-dimethyl-3-ethylhexane 	46400
52897-08-2	2,2,3,4-tetramethylhexane 	45600
52897-09-3	2,2,3,5-tetramethylhexane 	45200
52897-10-6	2,3,3,4-tetramethylhexane 	46400
52897-11-7	2,3,3,5-tetramethylhexane 	45200
52897-12-8	2,3,4,4-tetramethylhexane 	46000
52897-15-1	2,3,4,5-tetramethylhexane 	46000
52897-16-2	2-methyl-3,3-diethylpentane 	47300
52897-17-3	2,2,3-trimethyl-3-ethylpentane 	46000
52897-18-4	2,2,4-trimethyl-3-ethylpentane 	44800
52897-19-5	2,3,4-trimethyl-3-ethylpentane 	46400
529-28-2	2-iodoanisole 	65300
529-34-0	1-tetralone 	65000
52957-10-5	(Z) 9-tridecen-1-ol 	95800
52957-12-7	(E) 7-decen-1-ol 	81100
52957-14-9	(E) 6-dodecen-1-ol 	90700
52957-15-0	(E) 9-tridecen-1-ol 	96400
52957-16-1	(E) 9-tetradecen-1-ol 	101000
52957-19-4	(E) 9-tridecenyl acetate 	85500
5296-62-8	allyl ethyl sulfide 	39300
53-70-3	dibenz[a,h]anthracene 	131100
530-45-0	1,1-bis(4-methylphenyl)ethane 	76500
530-48-3	1,1-diphenylethylene 	71200
530-93-8	2-tetralone 	73000
533-98-2	1,2-dibromobutane 	45800
5331-48-6	N-propylacetamide 	69800
5332-24-1	3-bromoquinoline 	70700
5332-73-0	3-methoxypropylamine 	44000
534-15-6	1,1-dimethoxyethane 	36400
534-22-5	2-methylfuran 	32900
5340-26-1	neopentyl pivalate 	48900
53402-10-1	(1R) (-)-thiocamphor 	55500
5341-95-7	meso 2,3-butanediol 	66600
5342-78-9	2,4,4-trimethyl-2-nitropentane 	54700
5343-92-0	1,2-pentanediol 	74600
535-15-9	ethyl dichloroacetate 	48400
535-77-3	3-isopropyltoluene 	50000
53510-18-2	5-methyl-trans-3-heptene 	38900
536-75-4	4-ethylpyridine 	46300
53657-08-2	1-nonylimidazole 	85600
53657-09-3	1-heptylimidazole 	76800
538-23-8	glycerol trioctanoate 	135400
538-24-9	glycerol trilaurate 	180000
538-68-1	pentylbenzene 	55200
538-86-3	benzyl methyl ether 	51400
538-93-2	isobutylbenzene 	48800
5380-42-7	methyl 2-thiophenecarboxylate 	57600
539-30-0	benzyl ethyl ether 	53500
539-82-2	ethyl valerate 	47600
539-87-7	heptanolactone 	53300
5392-40-5	citral 	55900
53939-27-8	(Z) 9-tetradecenal 	79100
53939-28-9	(Z) 11-hexadecenal 	88500
5395-75-5	3,5-dithiaheptane 	50800
5399-02-0	heptadecanonitrile 	98900
54-11-5	(l) nicotine 	63900
540-36-3	1,4-difluorobenzene 	35800
540-51-2	2-bromoethanol 	54100
540-54-5	1-chloropropane 	28800
540-63-6	1,2-ethanedithiol 	44700
540-84-1	2,2,4-trimethylpentane 	35100
540-88-5	tert-butyl acetate 	38000
5405-41-4	ethyl 3-hydroxybutyrate 	55900
54056-51-8	butyl 3-methylbut-2-enoate 	56600
54078-53-4	ethoxymethyl propionate 	49900
541-16-2	di-tert-butyl malonate 	65800
541-28-6	1-iodo-3-methylbutane 	42700
541-31-1	3-methyl-1-butanethiol 	39800
541-33-3	1,1-dichlorobutane 	39500
541-41-3	ethylchloroformate 	37800
541-73-1	1,3-dichlorobenzene 	50500
54105-66-7	undecylcyclohexane 	84600
54166-91-5	acetic acid, chlorooxo, propyl ester 	52700
542-10-9	1,1-diacetoxyethane 	59000
542-18-7	chlorocyclohexane 	41800
542-28-9	tetrahydro-2H-pyran-2-one 	58800
542-52-9	dibutyl carbonate 	62900
542-59-6	ethylene glycol monoacetate 	63900
542-69-8	1-iodobutane 	40200
542-85-8	ethyl isothiocyanate 	40000
542-92-7	1,3-cyclopentadiene 	29100
54290-22-1	cumyl iodide 	63300
543-49-7	(dl) 2-heptanol 	62100
543-59-9	1-chloropentane 	38400
544-01-4	diisopentyl ether 	51400
544-10-5	1-chlorohexane 	42500
544-25-2	1,3,5-cycloheptatriene 	38700
544-40-1	dibutyl sulfide 	49200
544-63-8	tetradecanoic acid 	111200
544-76-3	hexadecane 	80300
544-85-4	dotriacontane 	162500
54459-71-1	butyl hexyl ether 	53200
54502-94-2	(E) 10-hexadecen-1-ol 	111500
54514-31-7	2-bromophenyl isobutyl ether 	64000
5457-42-1	di-tert-butyl-isopropylmethanol 	57000
5460-50-4	4-methylcyclohexyl isobutyrate 	59700
54616-49-8	4-ethyl-cis-2-hexene 	38900
547-61-5	(-)-trans-pinocarveol 	62500
547-63-7	methyl isobutyrate 	38100
54897-65-3	(Z) 3-tetradecenyl acetate 	88500
