CASRN	Name	Tm	Tb	rho	RI
471-16-9	4-Methylene-1-isopropylbicyclo[3.1.0]hexan-3-ol, [1S-(1α,3β,5α)]		481.15	948.819	1.487125
471-25-0	2-Propynoic acid	282.15		1138.02	1.43062
471-35-2	Tetramethyldiarsine	267.15	438.15	1447.15	
471-46-5	Oxamide	572.15		1667.2	
471-47-6	Oxamic acid	482.15			
471-77-2	Neoabietic acid	446.15			
471-87-4	Stachydrine	508.15			
471-95-4	Bufotalin				
4712-55-4	Diphenyl phosphonate	285.15		1223.25	1.55752
472-70-8	β,β-Caroten-3-ol, (3R)-	433.15			
472-93-5	β,ψ-Carotene	426.15			
4720-09-6	Grayanotoxin I	541.15			
4726-14-1	Nitralin	424.85			
4726-96-9	O-Benzyl-L-serine				
4727-17-7	Cyclopentadecanol	353.65		930.2	1.455598
473-06-3	2,7,7-Trimethylbicyclo[3.1.1]hept-2-en-6-one				1.472022
473-29-0	N,N-Dichlorobenzenesulfonamide	349.15			
473-30-3	5-[(4-Aminophenyl)sulfonyl]-2-thiazolamine				
473-34-7	N,N-Dichloro-4-methylbenzenesulfonamide	356.15			
473-55-2	Pinane	220.15	440.15	846.721	1.460521
473-98-3	Lup-20(29)-ene-3,28-diol, (3β)	529.15			
4730-22-7	6-Methyl-2-heptanol	168.15	446.15	821.82	1.42381
4733-39-5	2,9-Dimethyl-4,7-diphenyl-1,10-phenanthroline				
4737-41-1	3-(Chloromethyl)pentane		399.15	891.42	1.42222
474-25-9	3,7-Dihydroxycholan-24-oic acid, (3α,5β,7α)	392.15			
474-40-8	α1-Sitosterol	439.15			
474-62-4	Ergost-5-en-3-ol, (3β,24R)-	430.65			
474-69-1	Ergosta-5,7,22-trien-3-ol, (3β,9β,10α,22E)-	391.15			
474-77-1	Cholest-5-en-3-ol, (3α)	414.65			
474-86-2	3-Hydroxyestra-1,3,5(10),7-tetraen-17-one	512.15			
4743-17-3	6-Chloro-2H-3,1-benzoxazine-2,4(1H)-dione				
4744-08-5	1,1-Diethoxypropane		394.15	825.2	1.392419
4744-10-9	1,1-Dimethoxypropane		361.15	864.82	
4747-07-3	Hexyl methyl ether		398.15		
4747-15-3	(2-Methoxyvinyl)benzene		484.65	989.423	1.562024
4747-21-1	Isopropylmethylamine		326.45		
4748-78-1	4-Ethylbenzaldehyde		494.15	979.02	
4749-28-4	2-Nitro-1-propene			1055.925	1.43582
475-00-3	Veratramine, 3-glucoside				
475-03-6	1,2,3,4-Tetrahydro-1,1,6-trimethylnaphthalene		513.15	930.32	1.52572
475-20-7	Longifolene		531.15	931.918	1.50402
475-25-2	Hematein				
475-31-0	Glycocholic acid	439.65			
475-38-7	5,8-Dihydroxy-1,4-naphthalenedione	516.15			
475-67-2	Isocorydine	458.15			
475-81-0	d-Glaucine	393.15			
4753-75-7	N-Methyl-2-furanmethanamine		422.15	989.25	1.47292
4753-80-4	Thiepane	273.65	428.15	991.2	1.504418
4755-77-5	Ethyl 2-chloro-2-oxoacetate		410.15	1222.62	
4759-48-2	13-cis-Retinoic acid	462.15			
476-28-8	Lycorine	553.15			
476-32-4	Chelidonine	408.65			
476-45-9	Javanicin				
476-60-8	1,4,9,10-Anthracenetetrol	421.15			
476-69-7	Corydine	422.15			
476-70-0	Boldine	436.15			
4766-57-8	Butyl silicate		529.15	899.02	1.41282
4767-03-7	3-Hydroxy-2-(hydroxymethyl)-2-methylpropanoic acid	468.65			
477-27-0	Colchiceine	451.65		1242.5	
477-32-7	Visnadine	358.65			
477-47-4	Picropodophyllin	501.15			
477-60-1	Bebeerine	494.15			
477-75-8	9,10-Dihydro-9,10[1',2']-benzenoanthracene	527.14			
477-89-4	Casimiroin				
477-90-7	Bergenin	511.15			
4771-80-6	3-Cyclohexene-1-carboxylic acid	290.15	510.15	1082.02	1.48142
4773-83-5	1,2,3-Trimethylindene			971.42	1.55212
478-43-3	Rhein	594.15			
478-61-5	6,6',7-Trimethoxy-2,2'-dimethylberbaman-12-ol	471.65			
478-94-4	Lysergamide	410.65			
478-95-5	Isolysergic acid				
4780-79-4	1-Naphthalenemethanol	337.15	577.15	1103.98	
4784-77-4	1-Bromo-2-butene		371.15	1337.125	1.48222
4786-24-7	3-Methyl-2-butenenitrile		414.15		
479-00-5	Ergometrinine				
479-13-0	Coumestrol				
479-18-5	Dyphylline	434.65			
479-21-0	(2,6-Dihydroxy-4-methoxyphenyl)phenylmethanone	403.65			
479-22-1	Nitranilic acid				
479-23-2	1,2-Dihydrobenz[j]aceanthrylene	443.55			
479-27-6	1,8-Naphthalenediamine	339.85		1126.59	1.682899
479-33-4	2,3,4,5-Tetraphenyl-2,4-cyclopentadien-1-one	495.45			
479-45-8	N-Methyl-N,2,4,6-tetranitroaniline	401.15		1571	
479-59-4	2,3,6,7-Tetrahydro-1H,5H-benzo[ij]quinolizine	313.15		1003.2	1.56825
479-61-8	α-Chlorophyll	425.45			
4795-29-3	Tetrahydro-2-furanmethanamine		426.15	975.22	1.45512
4798-44-1	1-Hexen-3-ol		407.15	834.22	1.429718
480-11-5	Oroxylin A	504.65			
480-15-9	Datiscetin	550.65			
480-16-0	Morin	576.65			
480-18-2	trans-3,3',4',5,7-Pentahydroxyflavanone, (±)-				
480-40-0	5,7-Dihydroxy-2-phenyl-4H-1-benzopyran-4-one	558.15			
480-41-1	Naringenin	523.15			
480-44-4	Acacetin	536.15			
480-54-6	Retrorsine	485.15			
480-63-7	2,4,6-Trimethylbenzoic acid	429.65			
480-64-8	2,4-Dihydroxy-6-methylbenzoic acid				
480-66-0	1-(2,4,6-Trihydroxyphenyl)ethanone	494.15			
480-68-2	5-Nitro-2,4,6(1H,3H,5H)-pyrimidinetrione	453.65			
480-81-9	Seneciphylline				
480-85-3	Retronecine, (+)	394.15			
480-91-1	2,3-Dihydro-1H-isoindol-1-one	424.15	611.15		
480-96-6	Benzofurazan, 1-oxide	345.15		1280.8	
4801-58-5	N-Hydroxypiperidine	312.45			
4806-61-5	Ethylcyclobutane	130.25	343.15	728.42	1.40202
481-05-0	Artemisin	476.15			
481-06-1	α-Santonin	448.15		1590.25	
481-20-9	Cholestane, (5β)	345.15		911.987	1.488488
481-21-0	Cholestane, (5α)	351.75		909.088	1.488788
481-26-5	5β-Pregnane	356.65		1032.15	
481-29-8	3-Hydroxyandrostan-17-one, (3β,5α)	451.15			
481-37-8	Ecgonine	478.15			
481-39-0	5-Hydroxy-1,4-naphthalenedione	428.15			
481-42-5	5-Hydroxy-2-methyl-1,4-naphthalenedione	351.65			
481-49-2	Cepharanthine	423.15			
481-72-1	1,8-Dihydroxy-3-(hydroxymethyl)-9,10-anthracenedione	496.65			
481-74-3	1,8-Dihydroxy-3-methyl-9,10-anthracenedione	469.15		922.5	
4813-57-4	Octadecyl acrylate				
48145-04-6	2-Phenoxyethyl acrylate			1090.25	
482-05-3	[1,1'-Biphenyl]-2,2'-dicarboxylic acid	506.65			
482-28-0	Cinchonamine	459.15			
482-44-0	Imperatorin	375.15			
482-66-6	16,17-Dihydro-15H-cyclopenta[a]phenanthrene	408.65			
482-68-8	Sarpagan-10,17-diol	593.15			
482-74-6	Cryptopine	496.15		1315.2	
482-89-3	Indigo				
4824-78-6	Bromophos-ethyl				
4825-86-9	Ochratoxin B	494.15			
4829-04-3	1,3-Dithiolane	223.15	448.15	1259.17	1.597515
483-04-5	Raubasine				
483-17-0	7',10,11-Trimethoxyemetan-6'-ol	388.65			
483-18-1	Emetine	347.15			
483-55-6	2-Hydroxy-3-methyl-1,4-naphthalenedione	446.65			
483-64-7	Methyl 3-methoxy-2-(methylamino)benzoate	301.15	544.15		
483-65-8	7-Isopropyl-7-methylphenanthrene	368.55	664.15	1035.25	
483-76-1	cis-1,2,3,5,6,8a-Hexahydro-4,7-dimethyl-1-isopropylnaphthalene, (1S)-			916.015	1.508915
483-78-3	1,6-Dimethyl-4-isopropylnaphthalene		567.15	966.725	1.578525
4835-11-4	N,N'-Dibutyl-1,6-hexanediamine				1.447025
4839-46-7	3,3-Dimethylpentanedioic acid	376.65		1427.82	
484-11-7	2,9-Dimethyl-1,10-phenanthroline	436.15			
484-20-8	5-Methoxypsoralen	461.15			
484-29-7	4-Methoxyfuro[2,3-b]quinoline	406.65			
484-31-1	4,5-Dimethoxy-6-(2-propenyl)-1,3-benzodioxole	302.65	558.15	1159.815	1.530517
484-47-9	2,4,5-Triphenyl-1H-imidazole	548.15			
484-67-3	2,3,5,6-Tetrachloro-4-methoxyphenol	389.15			
484-89-9	Fumigatin	389.15			
484-93-5	Ecgonidine				
485-31-4	Binapacryl	343.75		1272	
485-35-8	Cytisine	426.15			
485-43-8	Iridomyrmecin	334.15			1.460765
485-47-2	1H-Indene-1,2,3-trione monohydrate				
485-64-3	Hydrocinchonidine	502.15			
485-65-4	Hydrocinchonine	541.65			
485-71-2	Cinchonidine	483.65			
485-72-3	Formononetin	529.65			
485-89-2	3-Hydroxy-2-phenyl-4-quinolinecarboxylic acid				
4850-28-6	1α,2α,4β-1,2,4-Trimethylcyclopentane	142.15	389.85	759.225	1.41862
486-12-4	Triprolidine	333.15			
486-25-9	9H-Fluoren-9-one	357.15	616.25	1130.099	1.630999
486-35-1	7,8-Dihydroxy-2H-1-benzopyran-2-one	535.15			
486-39-5	Coclaurine	493.65			
486-47-5	Ethaverine	373.15			
486-66-8	Daidzein				
486-70-4	trans-Octahydro-2H-quinolizine-1-methanol, (1R)-	343.15	543.15		
486-84-0	Harman	509.65			
486-86-2	Caulophylline	410.15			
486-89-5	Anagyrine				
4860-03-1	1-Chlorohexadecane	291.05	599.15	863.52	1.45032
4865-85-4	Ochratoxin C				
487-06-9	5,7-Dimethoxy-2H-1-benzopyran-2-one	422.15			
487-16-1	1H-Indole-2,3-dione, 3-thiosemicarbazone	556.15			
487-21-8	2,4(1H,3H)-Pteridinedione	621.65			
487-26-3	2,3-Dihydro-2-phenyl-4H-1-benzopyran-4-one	349.45			
487-27-4	Scopoline	381.65	521.15	1089.1134	
487-68-3	2,4,6-Trimethylbenzaldehyde	287.15	511.65	1015.425	
487-79-6	Kainic acid				
487-89-8	1H-Indole-3-carboxaldehyde	470.95			
487-93-4	3-[2-(Dimethylamino)ethyl]-1H-indol-5-ol	419.65			
488-10-8	cis-3-Methyl-2-(2-pentenyl)-2-cyclopenten-1-one		531.15	943.722	1.497922
488-17-5	3-Methyl-1,2-benzenediol	341.15	521.15		
488-23-3	1,2,3,4-Tetramethylbenzene	266.45	478.15	905.22	1.52032
488-43-7	1-Amino-1-deoxy-D-glucitol	400.15			
488-70-0	2,3,4,5-Tetramethylphenol	357.15	535.15		
488-73-3	2-Deoxy-D-chiro-inositol	509.15		1584.513	
488-81-3	Ribitol	369.15			
488-84-6	D-Ribulose				
488-87-9	2,5-Dimethyl-1,3-benzenediol	436.15	551.65		
488-93-7	3-Furancarboxylic acid	394.85			
488-98-2	1-Fluoro-2-(trichloromethyl)benzene			1453.25	1.54322
4884-24-6	[1,1'-Bicyclopentyl]-2-one	260.15	505.65	974.521	1.4763
4884-25-7	[1,1'-Bicyclopentyl]-2-ol	293.15	506.15	978.515	1.488417
4885-02-3	1,1-Dichloromethyl methyl ether		359.15	1271.25	1.43002
489-72-5	17-Oxosparteine	357.15			
489-84-9	1,4-Dimethyl-7-isopropylazulene	304.65		973.2	
489-86-1	Guaiol	364.15		907.41	1.47161
489-98-5	2,4,6-Trinitroaniline	463.15		1762.1	
4891-38-7	Methyl 3-phenyl-2-propynoate	291.15		1083.025	1.561825
4894-61-5	trans-1-Chloro-2-butene		358.15	929.52	1.43502
4894-75-1	4-Phenylcyclohexanone	352.15			
4897-84-1	Methyl 4-bromobutanoate		459.65	1425	1.456725
490-02-8	Aspergillic acid	371.15			
490-03-9	2-Hydroxy-3-methyl-6-isopropyl-2-cyclohexen-1-one	356.15			
490-10-8	Nepetalactone			1066.325	1.485925
490-11-9	3,4-Pyridinedicarboxylic acid	529.15			
490-53-9	1,2,3,4-Tetrahydro-6,7-dimethoxy-1,2-dimethylisoquinoline, (±)-				
490-55-1	5-Phenyl-2,4-thiazolediamine				
490-64-2	2,4,5-Trimethoxybenzoic acid	418.15	573.15		
490-78-8	1-Acetyl-2,5-dihydroxybenzene	478.45			
490-79-9	2,5-Dihydroxybenzoic acid	477.15			
490-91-5	5-Isopropyl-2-methyl-2,5-cyclohexadiene-1,4-dione	318.65	505.15		
4900-30-5	1,8-Nonadiene		414.15	751.12	1.43022
4901-51-3	2,3,4,5-Tetrachlorophenol	389.15			
4904-61-4	1,5,9-Cyclododecatriene	256.15	513.15	841	
491-04-3	6-Isopropyl-3-methyl-2-cyclohexen-1-ol			911.925	1.472925
491-07-6	cis-2-Isopropyl-5-methylcyclohexanone		478.15	899.52	1.45272
491-09-8	3-Methyl-6-(1-methylethylidene)-2-cyclohexen-1-one			977.42	1.52942
491-31-6	1H-2-Benzopyran-1-one	320.15	559.15		
491-35-0	4-Methylquinoline	282.65	539.15	1083.2	1.62002
491-37-2	2,3-Dihydro-4H-1-benzopyran-4-one	312.25		1129.11	1.575
491-38-3	4H-1-Benzopyran-4-one	330.26		1290.02	
491-67-8	5,6,7-Trihydroxy-2-phenyl-4H-1-benzopyran-4-one				
491-70-3	Luteolin	601.15			
491-80-5	5,7-Dihydroxy-3-(4-methoxyphenyl)-4H-1-benzopyran-4-one	487.95			
491-88-3	Isopilosine	460.15			
4911-55-1	1,3-Pentadiyne	234.65	328.15	790.92	1.443121
4911-70-0	2,3-Dimethyl-2-pentanol			804.2	
4912-92-9	1,1-Dimethylindan		467.15	919.2	1.513525
4914-89-0	cis-3-Methyl-3-hexene		368.45	707.925	1.41262
4914-91-4	cis-3,4-Dimethyl-2-pentene	148.95	365.15	709.225	1.41042
4914-92-5	trans-3,4-Dimethyl-2-pentene	159.75	364.15	712.425	1.41282
492-17-1	[1,1'-Biphenyl]-2,4'-diamine	327.65	636.15		
492-22-8	9H-Thioxanthen-9-one	487.85	646.15		
492-27-3	4-Hydroxy-2-quinolinecarboxylic acid	555.65			
492-38-6	α-Methylenebenzeneacetic acid	379.65			
492-39-7	α-(1-Aminoethyl)benzenemethanol, [S-(R*,R*)]-	350.65			
492-61-5	β-D-Glucopyranose	422.15			
492-80-8	4,4'-Dimethylaminobenzophenonimide	409.15			
492-86-4	4-Chloro-α-hydroxybenzeneacetic acid	393.45			
492-88-6	3-Ethoxy-2-hydroxybenzaldehyde	337.25	537.15		
492-89-7	3-Pentadecyl-1,2-benzenediol	332.65			
492-94-4	Di-2-furanylethanedione	439.45			
492-97-7	2,2'-Bithiophene	304.25	533.15		
492-99-9	1,2-Cyclohexanedione dioxime	465.15			
493-01-6	cis-Decahydronaphthalene	230.25	468.95	896.52	1.48102
493-02-7	trans-Decahydronaphthalene	242.8	460.45	865.925	1.46952
493-05-0	3,4-Dihydro-1H-2-benzopyran	277.5		1067.25	1.54442
493-08-3	3,4-Dihydro-2H-1-benzopyran	269.84	488.75	1072.2	1.54442
493-09-4	2,3-Dihydro-1,4-benzodioxin		486.15	1180.2	1.54852
493-49-2	3,4-Dihydro-6,7-dimethoxy-1(2H)-isoquinolinone	448.15			
493-52-7	Methyl Red	456.15			
493-77-6	2,4,6-Triphenyl-1,3,5-triazine	530.15			
4930-98-7	2(1H)-Pyridinone hydrazone	319.75			
494-03-1	Chlornaphazine	328.15			
494-04-2	Nicotelline	421.15			
494-19-9	10,11-Dihydro-5H-dibenz[b,f]azepine				
494-47-3	Hydrofuramide	390.15			
494-52-0	3-(2-Piperidinyl)pyridine, (S)-	282.15	549.15	1045.52	1.54302
494-55-3	Hydrohydrastinine	339.15	576.15		
494-90-6	4,5,6,7-Tetrahydro-3,6-dimethylbenzofuran	359.15		972.15	
494-97-3	3-(2-Pyrrolidinyl)pyridine, (S)-		543.15	1073.719	1.537818
494-99-5	1,2-Dimethoxy-4-methylbenzene	297.15	494.15	1050.925	1.525725
4945-47-5	1-Methyl-N-phenyl-N-benzyl-4-piperidinamine	388.15			
4945-48-6	N-Butylpiperidine		447.15	824.52	1.44672
4949-44-4	Ethyl 3-oxopentanoate		464.15	1012.02	1.42302
495-08-9	2-(Hydroxymethyl)-1,4-benzenediol	373.15			
495-18-1	N-Hydroxybenzamide				
495-20-5	Conhydrine, (+)	394.15	499.15		
495-40-9	1-Phenyl-1-butanone	285.15	501.65	988.2	1.52032
495-41-0	1-Phenyl-2-buten-1-one	293.65		1025.15	1.562618
495-45-4	1,3-Diphenyl-2-buten-1-one		615.65	1108.015	1.63432
495-61-4	1-Methyl-4-(5-methyl-1-methylene-4-hexenyl)cyclohexene, (S)-			867.32	1.48802
495-69-2	N-Benzoylglycine	464.65		1371.2	
495-76-1	1,3-Benzodioxole-5-methanol	331.15			
495-85-2	Methysticin	410.15			
495-91-0	Chavicine				
496-03-7	2-Ethyl-3-hydroxyhexanal				
496-10-6	Octahydroindene	228.75	437.15	876.25	1.47022
496-11-7	Indan	221.81	450.95	963.92	1.53782
496-15-1	2,3-Dihydro-1H-indole		503.15	1069.2	1.59232
496-16-2	2,3-Dihydrobenzofuran	251.65	460.15	1058.25	1.54972
496-41-3	2-Benzofurancarboxylic acid	465.65	585.65		
496-46-8	Tetrahydroimidazo[4,5-d]imidazole-2,5(1H,3H)-dione	570.15			
496-49-1	1-(1-Methyl-2-pyrrolidinyl)-2-propanone, (R)-				1.45552
496-67-3	N-(Aminocarbonyl)-2-bromo-3-methylbutanamide	427.15		1561.5	
496-72-0	4-Methyl-1,2-benzenediamine	362.65	538.15		
496-73-1	4-Methyl-1,3-benzenediol	378.15	543.15		
496-74-2	4-Methyl-1,2-benzenedithiol	302.15			
496-77-5	5-Hydroxy-4-octanone	263.15	458.15	910.716	1.434516
496-78-6	2,4,5-Trimethylphenol	344.75	506.15		
497-03-0	trans-2-Methyl-2-butenal		387.15	871.02	1.44752
497-04-1	2-Chloro-1,3-propanediol			1321.92	1.48312
497-18-7	Carbonic dihydrazide	427.15		1616.2	
497-20-1	Fulvene			824.12	1.49202
497-26-7	2-Methyl-1,3-dioxolane		354.15	981.12	1.403517
497-30-3	Ergothioneine				
497-38-1	Bicyclo[2.2.1]heptan-2-one	371.15	443.15		
497-39-2	2,4-Di-tert-butyl-5-methylphenol	335.25	555.15	912.8	
497-59-6	3-Hydroxy-4-oxo-4H-pyran-2,6-dicarboxylic acid				
497-76-7	4-Hydroxyphenyl-β-D-glucopyranoside	472.65			
4972-29-6	Benzenesulfinyl chloride	311.15		1346.925	1.347025
49763-65-7	4-Pentylbenzoyl chloride			1036.25	1.53002
498-00-0	4-Hydroxy-3-methoxybenzenemethanol	388.15			
498-02-2	1-(4-Hydroxy-3-methoxyphenyl)ethanone	388.15	570.15		
498-15-7	3-Carene, (+)		444.15	854.93	1.4693
498-23-7	cis-2-Methyl-2-butenedioic acid	356.35		1617.25	
498-24-8	trans-1-Propene-1,2-dicarboxylic acid	477.65		1466.2	
498-59-9	Djenkolic acid				
498-60-2	3-Furancarboxaldehyde		418.15	1110.2	1.49452
498-62-4	3-Thiophenecarboxaldehyde				1.58552
498-66-8	Bicyclo[2.2.1]hept-2-ene	319.35	368.84		
498-67-9	(Dichlorofluoromethyl)benzene	246.35	452.15	1313.811	1.518011
498-94-2	4-Piperidinecarboxylic acid	609.15			
498-95-3	3-Piperidinecarboxylic acid				
498-96-4	1,2,5,6-Tetrahydro-3-pyridinecarboxylic acid				
4981-66-2	9,10-Anthracenediol	453.15			
4984-01-4	3,7-Dimethyl-1-octene		428.15	739.62	1.42122
4985-46-0	Tyrosineamide	426.65			
4985-70-0	1-Chloroanthracene	356.65		1170.71	1.69591
4985-85-7	N,N-Bis(2-hydroxyethyl)-1,3-propanediamine				
4986-89-4	2,2-Bis(hydroxymethyl)-1,3-propanediol, tetra(2-propenoyl) ester	290.45		1185.25	
499-04-7	Arecaidine				
499-06-9	3,5-Dimethylbenzoic acid	444.25	548.15		
499-40-1	α-Isomaltose	393.15			
499-44-5	2-Hydroxy-4-isopropyl-2,4,6-cycloheptatrien-1-one	324.15		1060.665	
499-75-2	5-Isopropyl-2-methylphenol	275.65	514.65	977.22	1.52302
499-80-9	2,4-Pyridinedicarboxylic acid	522.15		942.25	
499-81-0	3,5-Pyridinedicarboxylic acid	597.15			
499-83-2	2,6-Pyridinedicarboxylic acid	525.15			
499-89-8	Thujic acid	361.65			
4998-76-9	Cyclohexylamine hydrochloride	479.65			
50-00-0	Formaldehyde	181.15	254.05		
50-01-1	Guanidine monohydrochloride	457.15		1354.2	
50-02-2	Dexamethasone	535.15			
50-03-3	Hydrocortisone 21-acetate			1289.2	
50-06-6	Phenobarbital	449.15			
50-07-7	Mitomycin C	633.15			
50-10-2	Oxyphenonium bromide	464.65			
50-11-3	Metharbital	423.65			
50-12-4	Mephenytoin	409.15			
50-14-6	Vitamin D2	389.65			
50-18-0	Cyclophosphamide	323.55			
50-22-6	Corticosterone	454.15			
50-23-7	Hydrocortisone	493.15			
50-24-8	Prednisolone	508.15			
50-27-1	Estra-1,3,5(10)-triene-3,16,17-triol, (16α,17β)			1272.5	
50-28-2	Estra-1,3,5(10)-triene-3,17-diol (17β)	453.15			
50-29-3	1,1,1-Trichloro-2,2-bis(4-chlorophenyl)ethane	382.15	533.15		
50-30-6	2,6-Dichlorobenzoic acid	415.15			
50-31-7	2,3,6-Trichlorobenzoic acid	402.65			
50-32-8	Benzo[a]pyrene	452.15			
50-33-9	Phenylbutazone	377.15			
50-34-0	Propantheline bromide	433.15			
50-35-1	Thalidomide	543.15			
50-36-2	Cocaine	371.15			1.502298
50-37-3	Lysergide	355.15			
50-42-0	Adiphenine hydrochloride	386.65			
50-44-2	1,7-Dihydro-6H-purine-6-thione				
50-47-5	Desipramine				
50-48-6	Amitriptyline	469.15			
50-49-7	Imipramine				
50-50-0	Estra-1,3,5(10)-triene-3,17-diol 3-benzoate, (17β)	471.15			
50-52-2	Thioridazine	346.15			
50-53-3	Chlorpromazine				
50-55-5	Reserpine	537.65			
50-56-6	Oxytocin				
50-59-9	Cephaloridine				
50-60-2	Phentolamine	448.15			
50-65-7	Niclosamide	500.15			
50-67-9	5-Hydroxytryptamine				
50-69-1	D-Ribose	361.15			
50-70-4	D-Glucitol	370.15		1489.2	1.33302
50-71-5	2,4,5,6(1H,3H)-Pyrimidinetetrone				
50-76-0	Dactinomycin				
50-78-2	2-(Acetyloxy)benzoic acid	409.15			
50-79-3	2,5-Dichlorobenzoic acid	427.15	574.15		
50-81-7	L-Ascorbic acid	464.15		1652.5	
50-84-0	2,4-Dichlorobenzoic acid	437.35			
50-85-1	2-Hydroxy-4-methylbenzoic acid	450.95			
50-89-5	Thymidine	460.15			
50-91-9	2'-Deoxy-5-fluorouridine	423.15			
50-98-6	Ephedrine hydrochloride	492.15		1020.82	
500-05-0	2-Oxo-2H-pyran-5-carboxylic acid				
500-22-1	3-Pyridinecarboxaldehyde			1139.425	
500-28-7	Chlorthion	294.15		1437.2	1.56612
500-38-9	Nordihydroguaiaretic acid	458.65			
500-44-7	Mimosine				
500-55-0	Apoatropine	335.15			
500-98-1	(N-Phenylacetyl)glycine	416.15			
500-99-2	3,5-Dimethoxyphenol	310.15			
5003-71-4	3-Bromopropylamine hydrobromide	444.65			
5006-66-6	1,6-Dihydro-6-oxo-3-pyridinecarboxylic acid				
5008-52-6	Luciculine	422.15			
5008-73-1	Isopropyl propyl sulfide		405.15	826.92	
5009-27-8	Cyclopropanone				
501-15-5	4-[2-(Methylamino)ethyl]-1,2-benzenediol	461.65			
501-24-6	3-Pentadecylphenol	323.15			
501-30-4	5-Hydroxy-2-(hydroxymethyl)-4H-pyran-4-one	426.65			
501-52-0	Benzenepropanoic acid	321.55	557.15	1071.249	
501-53-1	Benzyl chloroformate			1195.25	1.51902
501-65-5	Diphenylacetylene	335.15	573.15	965.71	
501-92-8	4-Allylphenol	288.95	511.15	1020.315	1.544118
501-94-0	4-Hydroxybenzeneethanol	363.15	583.15		
501-97-3	4-Hydroxybenzenepropanoic acid	402.45			
502-39-6	Methylmercuric dicyanamide	430.15			
502-41-0	Cycloheptanol	280.3	458.15	955.42	1.407052
502-42-1	Cycloheptanone		453.55	950.82	1.46082
502-44-3	2-Oxepanone	272.13	488.15	1076.12	1.46112
502-47-6	3,7-Dimethyl-6-octenoic acid		530.15	923.421	
502-49-8	Cyclooctanone	317.35	474.55	958.12	1.46942
502-56-7	5-Nonanone	269.31	461.55	821.72	1.41952
502-59-0	N-Isopentyl-6-methyl-2-heptanamine				
502-61-4	α-Farnesene			841.02	1.48362
502-65-8	ψ,ψ-Carotene	450.15			
502-72-7	Cyclopentadecanone	338.35		889.525	1.46376
502-97-6	1,4-Dioxane-2,5-dione	356.15			
502-99-8	3,7-Dimethyl-1,3,7-octatriene			800.02	1.48622
5022-29-7	N-Ethyl-1H-isoindole-1,3(2H)-dione	352.15	558.65		
5026-76-6	6-Methyl-1-heptene		386.15	707.925	1.40702
5029-67-4	2-Iodopyridine			1928.25	1.63662
503-01-5	N,6-Dimethyl-5-hepten-2-amine		450.15		
503-17-3	2-Butyne	240.95	300.25	691.02	1.39212
503-29-7	Azetidine	203.15	331.15	843.62	1.428725
503-30-0	Oxetane	176.15	320.75	893.025	1.39612
503-38-8	Diphosgene	216.15	401.15	1652.514	1.456622
503-40-2	Methanedisulfonic acid	371.15			
503-60-6	1-Chloro-3-methyl-2-butene		382.15	927.32	1.44852
503-64-0	cis-2-Butenoic acid	288.15	442.15	1026.72	1.44502
503-66-2	3-Hydroxypropanoic acid				1.44892
503-74-2	3-Methylbutanoic acid	243.55	449.65	931.2	1.40332
503-87-7	2-Thioxo-4-imidazolidinone				
503-93-5	2,6,6-Trimethyl-2,4-cycloheptadien-1-one		483.15	949.02	1.50872
504-02-9	1,3-Cyclohexanedione	378.15		1086.191	1.4576102
504-03-0	2,6-Dimethylpiperidine		401.15	815.825	1.43772
504-07-4	Dihydro-2,4(1H,3H)-pyrimidinedione	548.65			
504-15-4	5-Methyl-1,3-benzenediol	380.15	560.15	1290.4	
504-17-6	Dihydro-2-thioxo-4,6(1H,5H)-pyrimidinedione				
504-20-1	Phorone	298.95	470.15	885.02	1.49982
504-24-5	4-Pyridinamine	432.15	546.15		
504-29-0	2-Pyridinamine	331.35			
504-31-4	2H-Pyran-2-one	281.65	480.65	1200.2	1.527025
504-53-0	18-Pentatriacontanone	361.95		793.95	
504-57-4	10-Nonadecanone	329.95	607.15		
504-61-0	trans-2-Buten-1-ol	243.15	394.35	852.12	1.42882
504-63-2	1,3-Propanediol	245.55	487.85	1053.82	1.43982
504-64-3	Carbon suboxide	160.65	279.95	1114	1.4538
504-66-5	Dicyanamide				
504-78-9	Thiazolidine		437.65	1131.25	1.5512
504-88-1	3-Nitropropanoic acid	335.15		1592	
5042-55-7	5-Nitro-1,3-benzenediamine	416.15			
50471-44-8	Vinclozolin	383.65		1510	
505-20-4	1,2-Dithiane	305.65			1.598125
505-22-6	1,3-Dioxane	228.15	378.15	1028.625	1.41652
505-23-7	1,3-Dithiane	327.15			1.598125
505-29-3	1,4-Dithiane	384.55	472.65		
505-32-8	3,7,11,15-Tetramethyl-1-hexadecen-3-ol			851.92	1.45712
505-34-0	Cheirolin	320.65			
505-48-6	Octanedioic acid	415.45	618.65		
505-52-2	Tridecanedioic acid	387.45			
505-54-4	Hexadecanedioic acid	395.15			
505-60-2	Bis(2-chloroethyl) sulfide	286.65	471.15	1274.12	1.53132
505-65-7	1,3-Dioxepane				
505-66-8	Hexahydro-1H-1,4-diazepine	313.65	442.15		
505-75-9	Cicutoxin	327.15			
505-84-0	Dipropoxymethane	175.85	413.65	834.52	1.393919
5051-62-7	Guanabenz				
5053-43-0	2-Methylpyrimidine	269.15	411.15		
5057-98-7	cis-1,2-Cyclopentanediol	303.15			
